"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:04cnZuf2GVxH3NGW2DuPEV","Stay for a While","spotify:artist:2qFIyqgMSxeb3rb9UDnOuo","J Warner","spotify:album:2J0AovsavMduSxHHLNB5Fu","Figure 8","2020-04-08","1","3","212808","false","24","spotify:user:1227113","2020-06-18T17:27:03Z","indie r&b","0.47","0.351","9","-9.772","0","0.0302","0.67","0","0.0877","0.106","131.257","3"
"spotify:track:5rERYuoG0D2vsgxwB5gsZ4","Easily, I Forget","spotify:artist:2i1CPudyCUjL50Wqjv8AMI, spotify:artist:30SZetOBMEael27tboxz7f","Alfa Mist, Emmavie","spotify:album:3X60lqs7cdHZf4Tk5Vfn53","Epoch","2020-04-17","1","5","165000","false","32","spotify:user:1227113","2020-06-18T17:27:03Z","british jazz,indie jazz,indie soul,neo r&b,uk contemporary jazz,indie r&b","0.703","0.301","2","-9.552","1","0.0412","0.128","0.00856","0.0832","0.316","130.097","4"
"spotify:track:21mimz3pv3JD4r8wEJJfNg","Puff Lah","spotify:artist:6qgnBH6iDM91ipVXv28OMu","KAYTRANADA","spotify:album:5FQ4sOGqRWUA5wO20AwPcO","BUBBA","2019-12-13","1","5","113346","false","54","spotify:user:1227113","2020-06-18T17:27:03Z","escape room,indie soul,lgbtq+ hip hop","0.707","0.863","11","-7.469","1","0.056","0.000576","0.893","0.236","0.735","108.022","4"
"spotify:track:1BJIJ69DZNip7Erq6u69mu","July on Film","spotify:artist:2tGkqm7DdGhJgAeOU5tZOu","Zeauxi","spotify:album:20Od0eMv3TXf1gSrwEEik5","July on Film","2018-09-14","1","1","215379","false","46","spotify:user:1227113","2020-06-18T17:27:03Z","","0.532","0.25","1","-13.496","0","0.0955","0.758","0.000389","0.152","0.265","139.774","4"
"spotify:track:3F38So9dSV7mTjDHFuwUSw","Sacred Safe","spotify:artist:2SlUrJAcTYbWR8GcmB9IEi, spotify:artist:4Reen2gOVFXG3PIVMiq9ur, spotify:artist:0F6njK2daRnpEgh73K5XbF, spotify:artist:2AvuQxftfiTlqFYdg1aHxK, spotify:artist:5s1QeAf7U5ELP9PTeLaicb","Quelle Chris, Chris Keys, Merrill Garbus, Cavalier, Homeboy Sandman","spotify:album:5snlXkRasaqF672J0Eew4R","Sacred Safe","2020-03-31","1","1","327227","true","29","spotify:user:1227113","2020-06-18T17:27:03Z","alternative hip hop,boom bap,escape room,underground hip hop,alternative hip hop,abstract hip hop,alternative hip hop,boom bap,east coast hip hop","0.63","0.724","8","-6.481","0","0.185","0.034","0.00211","0.12","0.743","97.008","4"
"spotify:track:6VNkEtwxJfCZrv31QbN6aN","Grits","spotify:artist:2FefJmcnsMCJW5Dbtyq96s","Pieces of a Man","spotify:album:4nrtm9QnLoe6FHlV4Io2Ma","Made in Pieces","2019-07-12","1","8","215083","false","8","spotify:user:1227113","2020-06-18T17:27:03Z","","0.798","0.668","1","-6.963","1","0.127","0.456","0.000564","0.0775","0.963","192.171","4"
"spotify:track:5IQclrY4pxULh2qiMEWrq4","Turn It Out","spotify:artist:6NodJUvzLqPU2HtPLhDuf5","Larry Graham & Graham Central Station","spotify:album:5DldGiP8hbKtAjGzzcdYEq","My Radio Sure Sounds Good To Me","1978","1","6","277640","false","16","spotify:user:1227113","2020-06-18T17:27:03Z","funk,p funk","0.664","0.808","2","-12.423","1","0.0916","0.367","0.489","0.106","0.798","194.34","4"
"spotify:track:33oczOt8ZLpzAhDBrTaEel","Bloom (Remix)","spotify:artist:6NwdT3GPUajFQ9IvBYe0cu, spotify:artist:07d5etnpjriczFBB8pxmRe, spotify:artist:6TvjXbopXg71XRM9OZWqUc","K. Roosevelt, BJ The Chicago Kid, Arin Ray","spotify:album:2gwhFYLyiWbiW3RjB2kYhV","Bloom (Remix)","2020-04-15","1","1","256940","true","44","spotify:user:1227113","2020-06-18T17:27:03Z","alternative r&b,alternative r&b,chicago rap,hip hop,indie soul,neo soul,rap,underground hip hop,alternative r&b,chill r&b,indie r&b,pop r&b,trap soul","0.732","0.729","9","-6.052","1","0.0874","0.207","0.00796","0.113","0.668","143.067","4"
"spotify:track:3M0WcmJYYysvssesIPZMee","レソラ","spotify:artist:5Ga4ie7tlXW9Fc6ObLbSCY","H ZETTRIO","spotify:album:51LQZDTZAaH4tyhncgB1hj","RE-SO-LA","2020-01-01","1","1","270493","false","23","spotify:user:1227113","2020-06-18T17:27:03Z","japanese jazz,japanese jazz fusion","0.681","0.871","9","-7.944","1","0.0365","0.123","0.808","0.0994","0.706","102.926","4"
"spotify:track:4CPovDc5QPYftA15CBJ1Xe","tape in","spotify:artist:1izFlGUnbCyn1kOJtjkWcM, spotify:artist:3JcMnVFWDScA9KMa2jVzC5, spotify:artist:3NqYN6dhYwjrLQIGpFn8iT","FKD, DOMMY, DJ YASA","spotify:album:6mmeWf7EFxyvuNlJA6Mpgy","editoreal","2020-01-31","1","8","164571","false","3","spotify:user:1227113","2020-06-18T17:27:03Z","","0.764","0.654","0","-9.447","1","0.263","0.0926","0.847","0.0902","0.689","95.019","4"
"spotify:track:7Lvl6c2tXP5WHjGwWPAOnj","NOT ALONE","spotify:artist:1izFlGUnbCyn1kOJtjkWcM, spotify:artist:6YoTJNjaX9k31T32dZ6sY3","FKD, erie","spotify:album:5sySKK5256H2GlELIAExTt","NOT ALONE","2019-09-25","1","1","210266","false","14","spotify:user:1227113","2020-06-18T17:27:03Z","","0.789","0.356","7","-5.741","1","0.0567","0.347","0.00000358","0.105","0.397","92.023","4"
"spotify:track:2KTIvRAAihIGm8FyhEKdxp","In A Good Way","spotify:artist:5szilpXHcwOqnyKLqGco5j","Faye Webster","spotify:album:3oRqV2J2IuvZYm51BTKnb5","In A Good Way","2020-04-15","1","1","223534","false","58","spotify:user:1227113","2020-06-18T17:27:03Z","art pop,atlanta indie,indie folk,indie pop,indie rock","0.587","0.295","9","-8.284","1","0.03","0.175","0.0233","0.238","0.336","70.82","4"
"spotify:track:3ljnwiAYQH90bxJQbUP12o","Rain Dance / Wisdom","spotify:artist:3UgcksTtuB1Jnn8BrisEiC","Emma-Jean Thackray","spotify:album:1WIO8DsQqwosCcw5GSghur","Rain Dance / Wisdom","2020-02-12","1","1","471999","false","25","spotify:user:1227113","2020-06-18T17:27:03Z","british jazz,indie jazz,uk contemporary jazz","0.346","0.774","5","-8.554","0","0.0525","0.00574","0.869","0.131","0.371","148.359","4"
"spotify:track:3oxYijLe8fwWcIuiItyHI4","Get Away","spotify:artist:45RZn1pAEvQYqkRnvFaIJx","Dylan Sinclair","spotify:album:252YagDCOyHQwMcM7Fh2JE","Get Away","2020-04-09","1","1","215378","false","49","spotify:user:1227113","2020-06-18T17:27:03Z","alternative r&b,canadian contemporary r&b,chill r&b,indie r&b","0.873","0.334","0","-10.75","1","0.0659","0.546","0.000275","0.113","0.454","115.963","4"
"spotify:track:2Fv0WkKlnjVSDQpTpoxNmk","Woman Of The World","spotify:artist:3ZUZYvTkSr7kJQyAXVpqaL","Donald Byrd","spotify:album:7Iw2Tx6Jh0Y8iKEVfx7Sua","Street Lady","1973-01-01","1","6","411200","false","37","spotify:user:1227113","2020-06-18T17:27:03Z","bebop,contemporary post-bop,cool jazz,funk,hard bop,jazz,jazz funk,jazz fusion,jazz trumpet,soul,soul jazz","0.683","0.533","5","-10.53","1","0.032","0.674","0.206","0.381","0.383","115.355","4"
"spotify:track:3JpDpIUafzYIM1fXRPCjWX","When You Get Right Down to It","spotify:artist:6YPRXu1dazGYcSZv4HJEH4","The Delfonics","spotify:album:6Ie6D0KslXxrbkOAr5sbyX","The Delfonics","1970","1","3","168600","false","28","spotify:user:1227113","2020-06-18T17:27:03Z","classic soul,disco,funk,motown,philly soul,quiet storm,soul,southern soul","0.524","0.698","5","-5.317","1","0.0348","0.652","0.000108","0.164","0.594","75.592","4"
"spotify:track:5BwORdhBJ2Gy5obOWnGjXb","Saint-Lazarus","spotify:artist:3ZNUlWnJXhcuBaTJGnOO8O","Dela","spotify:album:4i2B7IoWfBoaBByBysm0CV","Jordan Fantôme","2020-01-17","1","9","155729","false","9","spotify:user:1227113","2020-06-18T17:27:03Z","alternative hip hop,ambeat,chillhop,jazz boom bap,jazz rap","0.701","0.408","1","-11.019","1","0.0418","0.419","0.824","0.108","0.898","90.06","4"
"spotify:track:2Tae3EC5j3s229uZy8dm3T","LUH!","spotify:artist:3esENfTnYy40Cs650mMtyT, spotify:artist:6naXFodImN2DwRmKCQHAUt","DAHEE, SOLE","spotify:album:3VxgMjHe85dofrqFLQDO9D","LUH!","2020-02-14","1","1","208810","false","38","spotify:user:1227113","2020-06-18T17:27:03Z","k-indie,korean pop,korean r&b","0.712","0.501","0","-6.442","1","0.0451","0.346","0.00000223","0.126","0.392","119.982","4"
"spotify:track:7aZGReAQ235D3r9iiao5U5","Get Down","spotify:artist:2AV6XDIs32ofIJhkkDevjm","Curtis Mayfield","spotify:album:7tIqCuFn9DqkHE1lRj9C6L","Roots","1971","1","1","348333","false","35","spotify:user:1227113","2020-06-18T17:27:03Z","chicago soul,classic soul,disco,funk,soul","0.699","0.96","1","-7.244","0","0.1","0.198","0.00000136","0.675","0.57","117.427","4"
"spotify:track:7AL5AaKiXmM8c4kBTg7tQ5","As Long as I've Got You - 2012 Remaster","spotify:artist:3VklNAaOdAkZoqMMhDquLq","The Charmels","spotify:album:2NQRnqlpgok7PIPYYy7bjA","Stand By Me","2019-07-19","1","23","157480","false","7","spotify:user:1227113","2020-06-18T17:27:03Z","memphis soul,southern soul","0.54","0.529","6","-5.397","1","0.0272","0.664","0.00459","0.267","0.551","85.669","4"
"spotify:track:62m4UqHaPNgk0nCnxmO5R9","Paid In Full","spotify:artist:1A4fV156Nn6rWIE8jk5ZpT","BOSCO","spotify:album:2bVPIWXwENWqwBjz9TU4c5","Some Day This Will All Make Sense","2020-04-01","1","7","154200","true","42","spotify:user:1227113","2020-06-18T17:27:03Z","alternative r&b,indie r&b","0.726","0.469","6","-10.928","0","0.311","0.483","0.718","0.0854","0.925","86","4"
"spotify:track:3HN3avZwbiaxNwhWsILlPV","Campsite","spotify:artist:7LdTUvSPdPJK0EzcRFrasU, spotify:artist:2J2V1PxHVZ1ANtT8Y2UdTS","BlakSoap, Like","spotify:album:1NfVRk3TZukvsfZATtOIqu","Deep Cleaning","2020-03-04","1","2","142922","false","15","spotify:user:1227113","2020-06-18T17:27:03Z","","0.658","0.661","4","-8.692","0","0.0651","0.156","0.768","0.153","0.884","169.989","4"
