"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:0hUaFrBn7NJaeJbmtxgEug","Let Go, It's Over","spotify:artist:2Hr3q02Ud8nIEVCHCdfH0g","Aura","spotify:album:2xdEXlKFBlLxAA05UJ1Zlv","Aura","2016-08-22","1","2","279533","false","9","spotify:user:1227113","2020-11-02T00:27:29Z","","0.692","0.455","0","-9.541","1","0.124","0.443","0.0295","0.129","0.558","80.019","4"
"spotify:track:470zVuyhWSOX7Ww1FjkueJ","Rude Movements - Moodymann Remix","spotify:artist:78k6nS6YleW2l4F0TgAjw1, spotify:artist:6pohviZSNRueSX7uNu63ZX","SunPalace, Moodymann","spotify:album:064gEtewplJ3LE7McJ57Gy","Rude Movements (Moodyman Remix / Kenny Dope Dancefloor Powder Remix)","2020-10-16","1","1","220573","false","30","spotify:user:1227113","2020-11-02T00:30:38Z","chicago house,deep house,detroit house,detroit techno,electronica,float house,indie jazz,indie soul,microhouse,minimal tech house,tech house,techno","0.667","0.64","1","-9.789","1","0.033","0.0222","0.889","0.108","0.446","107.937","4"
"spotify:track:73qGsmV4JPuN8bAkspf7Hd","Rude Movements - Kenny Dope Dancefloor Powder Remix","spotify:artist:78k6nS6YleW2l4F0TgAjw1, spotify:artist:1TrfxjXu8quyDw05p2bacX","SunPalace, Kenny Dope","spotify:album:064gEtewplJ3LE7McJ57Gy","Rude Movements (Moodyman Remix / Kenny Dope Dancefloor Powder Remix)","2020-10-16","1","2","242240","false","24","spotify:user:1227113","2020-11-02T00:30:38Z","deep house","0.71","0.874","8","-9.103","1","0.0438","0.0529","0.95","0.101","0.721","120.01","4"
"spotify:track:3sYUhnCEeKKAZChmh2lMao","Vem Bra Sambar","spotify:artist:1J9CDLfH3kc3c4oaxOgMIS","Mustafa","spotify:album:4mkmgnWXwb6B9kCw6wmSpa","We Love Jazzmin","2009-07-17","1","9","430920","false","0","spotify:user:1227113","2020-11-02T02:08:48Z","sambass","0.643","0.899","0","-8.995","1","0.0444","0.00245","0.518","0.0482","0.727","175.99","4"
"spotify:track:0JCMRSInXHcjBvAF9Y5Pez","Azymuth","spotify:artist:2d5wELGETq1hhfka6UNEoa, spotify:artist:3ob6wWVdxKHfPM8FN5DEQk","Donatinho, Tamy","spotify:album:4NBfVKTqGc6bmX5FDsRUXF","Nuth Lounge, Carioca Spirit","2009-02-17","1","10","227240","false","0","spotify:user:1227113","2020-11-02T02:16:35Z","musica popular paraense,bossa nova jazz","0.717","0.895","0","-5.37","0","0.0453","0.077","0.0952","0.204","0.831","127.982","4"
"spotify:track:7wJ0zAnjlqn3KBameH6WLw","Girassol (feat. Viviane Cruz) - 12 Fingers Club Vocal","spotify:artist:0tjHpbjAuIJiiLDpHyJ7LS, spotify:artist:5WuV9oeFcUex0UsBexIfoR","12 Fingers, Viviane Cruz","spotify:album:6GgdN3IxahQuyRWGIKTLmE","Girassol","2007-05-31","1","4","446372","false","1","spotify:user:1227113","2020-11-02T02:22:27Z","","0.795","0.713","7","-7.581","1","0.0619","0.000847","0.428","0.0258","0.655","126.015","4"
"spotify:track:5Va1lxhGOxoZ8kMQWAzJOS","Zaranza","spotify:artist:3qpOJzW1tkdXMhZkiA71Jc","Nerú Americano","spotify:album:0CYdMNms7W8lxzXbFZ4nzt","Zaranza","2017-09-04","1","1","217129","false","42","spotify:user:1227113","2020-11-02T02:24:23Z","batida,kuduro,musica angolana","0.956","0.675","11","-6.019","1","0.221","0.0138","0.00288","0.291","0.582","129.973","4"
"spotify:track:4RakP4AqhUDt6XDHbbzN1U","Não Há Espaço para Rimar","spotify:artist:3Zjn3l3TOtlDF5JNSVuugb, spotify:artist:3qpOJzW1tkdXMhZkiA71Jc","Os do Momento, Nerú Americano","spotify:album:1aAaLqBpAFubl8ZC8FImVL","Não Há Espaço para Rimar","2018-08-21","1","1","236381","false","13","spotify:user:1227113","2020-11-02T02:30:46Z","batida,kuduro,musica angolana","0.845","0.822","1","-5.566","1","0.239","0.0336","0.000382","0.079","0.68","130.005","4"
"spotify:track:2tTdZqiX1yOQMhmdnygj3n","Bala - Original Mix","spotify:artist:1r7pmtRb7lbWEeKPBYB0oT","Tony Montana Music","spotify:album:3ynu0UenBCl5Mgj4tNQhih","Gregor Salto Presents Tropical Tips 5","2016-09-09","1","15","214926","false","9","spotify:user:1227113","2020-11-02T02:35:17Z","","0.893","0.639","7","-5.93","1","0.204","0.267","0.0743","0.129","0.561","100.019","4"
"spotify:track:0FCsEL3NhZ2OqFe43QjloW","Out - Djeff Afrozila Luanda Remix","spotify:artist:5CXOHLCaT1T30cBkpBB9CO, spotify:artist:6m42MqvYQEYn9hS0WZaTzj","Shana, Djeff Afrozilla Luanda","spotify:album:3Zj1NYMLSFQteOroKg82kx","Tribe Vaults, Vol. 1 (Afro House Edition)","2012","1","1","540243","false","7","spotify:user:1227113","2020-11-02T02:35:43Z","freestyle","0.385","0.682","0","-9.088","1","0.0443","0.00106","0.887","0.144","0.628","128.009","4"
