"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:376H0olSo6GTeekf128zXE","Pshalom","spotify:artist:2GqT1F1XFMqZJK7c5wM4gT","Cullen Knight","spotify:album:247Th15F58pbXtHfQxPO44","LOOKING UP (Deal With It)","2007-01-01","1","4","307400","false","3","spotify:user:1227113","2020-10-01T13:05:25Z","","0.488","0.359","0","-16.46","1","0.0277","0.848","0.853","0.112","0.501","88.353","4"
"spotify:track:0FjDZm8XranVFP87qatSgN","Escorpião","spotify:artist:7c2M9J4vkC24hmNwQyl4vZ","Carlos Dafé","spotify:album:0CBbwRx9ScndtVJ76cJMzv","Dois Momentos","1977","1","15","214266","false","19","spotify:user:1227113","2020-10-01T13:13:25Z","brazilian boogie,brazilian soul","0.554","0.768","6","-6.396","0","0.124","0.174","0","0.056","0.661","111.008","4"
"spotify:track:4TBVZcByjrOylqTrggleCG","Moonlight Affair","spotify:artist:6wzxL5b6rHgsbAaKwhwTDi","Lemuria","spotify:album:2Wl13Mrz3SBbxUHNTqASVE","Lemuria","1978-07-05","1","6","309506","false","6","spotify:user:1227113","2020-10-01T13:41:16Z","","0.461","0.349","2","-13.442","1","0.0332","0.718","0.0000147","0.0753","0.459","124.295","4"
"spotify:track:3WVFwldkIM7znAmFOg1hYP","Sshe","spotify:artist:2vS7L8emNEwdcrBsMdUVan","BessedOf","spotify:album:0dgCXiaUBgqIYFdM9KsbtA","Newsun(​S)","2013-10-15","1","40","59968","false","8","spotify:user:1227113","2020-10-01T13:50:13Z","","0.648","0.804","0","-7.66","1","0.0418","0.0434","0.771","0.0456","0.535","79.277","4"
"spotify:track:6cd3jB1kIDowUwsApyXrd1","That's O.K.","spotify:artist:3i7IUsb5VsiJAKqX2Md9Fc","Jonwayne","spotify:album:4fdruijprMa7yL24maGTJl","That's O.K.","2016-06-03","1","1","350324","true","0","spotify:user:1227113","2020-10-01T13:57:07Z","alternative hip hop,escape room,wonky","0.412","0.608","9","-9.787","1","0.225","0.782","0.0518","0.0991","0.0653","179.046","4"
"spotify:track:0n235aHvfbjSltyNfNZufQ","The Same Old Me","spotify:artist:700Nt5AwUeqmJwJDFGG9xl","The Web","spotify:album:2pjw16J7dxC2OxE9IXx3ap","Cult Cargo: Belize City Boil Up","2006-10-25","1","4","204106","false","11","spotify:user:1227113","2020-10-01T17:02:57Z","didgeridoo","0.682","0.447","5","-6.414","1","0.0519","0.387","0.000265","0.284","0.357","132.363","4"
"spotify:track:0v56EFhzpi5Gs5zeGx3IGO","More/Diamond Ring (feat. Ty Dolla $ign & 6LACK)","spotify:artist:5CiGnKThu5ctn9pBxv7DGa, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq, spotify:artist:4IVAbR2w4JJNJDDRFP3E83","benny blanco, Ty Dolla $ign, 6LACK","spotify:album:7dQ734EW0iLvQfF6vBFNiZ","FRIENDS KEEP SECRETS","2018-12-07","1","6","182886","true","46","spotify:user:1227113","2020-10-01T17:36:23Z","electropop,pop,pop rap,pop,pop rap,r&b,southern hip hop,trap,trap soul,alternative r&b,atl hip hop,hip hop,melodic rap,pop rap,rap,trap","0.489","0.446","4","-9.468","0","0.298","0.813","0.0000483","0.096","0.299","75.343","4"
"spotify:track:5fDcfnRJ252SAIplYpp66W","Space Drive","spotify:artist:6k04lT5mCjojW1y9b1JUoL, spotify:artist:1KeJhR0ENFviw187pD4LPT","Colty, Blu","spotify:album:0SP8j2mqZUxinQN4WTIXjI","Space Drive","2020-08-14","1","1","163265","true","11","spotify:user:1227113","2020-10-01T17:45:07Z","alternative hip hop,boom bap,hip hop,underground hip hop","0.406","0.52","1","-12.691","1","0.205","0.272","0.0000171","0.256","0.604","75.533","4"
"spotify:track:1RhiEWxHgfv5Y3Q55PCd38","Diva Les Planets","spotify:artist:6k04lT5mCjojW1y9b1JUoL, spotify:artist:2RCIFLVr3PMTIoVsahFVYo","Colty, Stoney Creation","spotify:album:0UrFiCph3Yx26BxOiXoqSU","3 Track Tape","2020-08-28","1","3","147000","true","4","spotify:user:1227113","2020-10-01T17:48:06Z","","0.61","0.454","11","-12.821","1","0.238","0.409","0.284","0.102","0.543","118.772","4"
"spotify:track:69vXqIcZVaegrftFX3yNrh","I Can See","spotify:artist:4CxFlJDif0atTK3gZebcEf","Harvey Sutherland","spotify:album:4rRA3JWCSiyM6rawbWjLWl","Amethyst / I Can See","2018-11-09","1","2","410178","false","17","spotify:user:1227113","2020-10-01T18:02:23Z","australian house,deep house,float house,indie jazz,indie soul","0.529","0.64","5","-13.555","0","0.0518","0.0584","0.847","0.163","0.716","154.967","3"
"spotify:track:39qv83ivTXS3bR8cSFHxcm","Soudade","spotify:artist:07fosh51JNQiW7lpEnupTm","Nu Braz","spotify:album:1zn3c6akEwO5onA65jbgur","Sonho Bossa","2007-02-28","1","1","318666","false","19","spotify:user:1227113","2020-10-01T18:20:09Z","italian lounge","0.628","0.884","5","-6.992","0","0.0344","0.101","0.533","0.117","0.844","89.997","4"
"spotify:track:70eine3FCFbBVmX3HZhto4","Whatcha See Is Whatcha Get","spotify:artist:2W8UTum7bU7ue6m0r14H97","The Dramatics","spotify:album:1kuAkkhsye50w4et6k4vOT","Whatcha See Is Whatcha Get [Stax Remasters]","1971","1","4","240066","false","47","spotify:user:1227113","2020-10-01T18:34:57Z","classic soul,disco,funk,memphis soul,motown,quiet storm,soul,southern soul,urban contemporary","0.652","0.72","6","-9.528","1","0.134","0.198","0","0.0752","0.921","153.334","4"
"spotify:track:3wHcPbe60OVXYFk5pOt81T","you","spotify:artist:5TztG8UlidyWr5gcdHho1l","SuperParka","spotify:album:5UVnUphjqFLQIYfjwIPP66","sushi boubou #2","2020-07-31","1","3","240750","false","40","spotify:user:1227113","2020-10-01T18:35:38Z","","0.511","0.73","1","-8.764","0","0.201","0.46","0.415","0.154","0.615","160.077","4"
"spotify:track:1R6l5kRQGdo3RzuppdRY4A","Dilla’s Eclair","spotify:artist:6gU7qtF5B31WwdgkNwF1XK","DJ Harrison","spotify:album:4DstSUlXBWH3KYXHU6qaHs","Stashboxxx","2014-07-29","1","15","164560","false","37","spotify:user:1227113","2020-10-01T18:50:19Z","indie jazz,indie soul,neo r&b,wonky","0.684","0.338","10","-15.119","0","0.0426","0.548","0.919","0.138","0.681","104.717","4"
"spotify:track:4lHBSfPFNep23xluYiHlsE","Burning Up","spotify:artist:5iPtkyoEOCILhwFgl2a2d3","Bearcubs","spotify:album:7wpd8hTxFLk3S5D4kZUe4u","Underwaterfall - EP","2017-03-10","1","1","263487","false","16","spotify:user:1227113","2020-10-01T18:58:33Z","indie soul,vapor soul,vapor twitch","0.826","0.582","10","-10.904","0","0.0799","0.649","0.798","0.29","0.308","134.949","4"
"spotify:track:616dYUpJedNkb4d7auLfFV","Tay!","spotify:artist:4F9apzBcSE0OSfHYbxo4RF","80purppp","spotify:album:2WQK9waniLD0OMhrl9EO3a","Violet High","2019-12-06","1","7","190115","false","38","spotify:user:1227113","2020-10-01T19:03:22Z","","0.779","0.326","0","-13.448","1","0.134","0.692","0.00539","0.112","0.0426","101.007","4"
"spotify:track:4xGmQRD3MbfIjd5IDyA8Sx","No Need","spotify:artist:02V0FAoWiTFWMT36s1Yt1a","Pender Street Steppers","spotify:album:5yub44DUvAOHTcBcjSFORS","Pender Street Steppers","2017-11-30","1","5","471461","false","13","spotify:user:1227113","2020-10-01T19:08:30Z","canadian house","0.709","0.432","8","-6.913","0","0.0382","0.0415","0.863","0.0744","0.824","107.892","4"
"spotify:track:5Q4DWU7jIvugFxhjKt2tm9","No Touch","spotify:artist:7uwNJmOY95AjAi9kPgfpyt","Raz & Afla","spotify:album:6RMkc2saWvWm2Mbz1DpmEq","No Touch","2020-01-10","1","1","361914","false","18","spotify:user:1227113","2020-10-01T19:11:36Z","","0.829","0.829","4","-10.308","0","0.102","0.464","0.78","0.0912","0.627","123.016","4"
