"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:6Q0Y67zixc3pvZKhQZxnND","Studio 96","spotify:artist:1z1BqO5USeghw3m8F5nurm","Richard Demaria","spotify:album:54yBaur0EVEEj6O3yB0rQH","Further Nuggets - Luke Vibert's Selection","2002-03-07","1","3","76800","false","4","spotify:user:1227113","2020-09-01T14:04:41Z","library music","0.591","0.794","1","-7.129","1","0.0542","0.233","0.768","0.0902","0.432","136.771","1"
"spotify:track:76L1qBa3xJlxJ5HKzk8VbM","Tropical Club","spotify:artist:13MlmKnz81PZqZgMfCdVRR","Alberto Baldan Bembo","spotify:album:3wMMEeUpFG4YqilF56KCHw","L'amica di mia madre (Colonna sonora originale del film)","1975-09-05","1","4","195268","false","10","spotify:user:1227113","2020-09-01T16:33:50Z","italian library music,vintage italian soundtrack","0.695","0.675","4","-11.204","0","0.0351","0.504","0.808","0.0984","0.916","147.013","4"
"spotify:track:4oKK8R9Mp7ijmbi9Jmk1pP","Valentine Lover","spotify:artist:29rc11AFLwFhbpgWAYxSuV, spotify:artist:0mq8nei4ndPkb0uWkqx12k","Andre Gibson, Universal Togetherness Band","spotify:album:0ZH39xjzYpr6uSQV6ERpGC","Apart: Demos 1980-1984","2020-04-17","1","4","110007","false","15","spotify:user:1227113","2020-09-02T00:10:37Z","deep funk","0.418","0.373","0","-5.406","1","0.0339","0.962","0.345","0.0873","0.242","151.871","4"
"spotify:track:56a6ouGQikCaY8bMQj6wXN","I Am in Love","spotify:artist:5GgX23TgqGxu7hCm6qVDo4","Jennifer Lara","spotify:album:3sxMFNKFEfkwtrv8xINaZW","Studio One Presents Jennifer Lara","1982","1","11","318493","false","44","spotify:user:1227113","2020-09-02T00:12:06Z","","0.546","0.561","0","-13.074","0","0.166","0.0212","0.00141","0.576","0.811","181.63","4"
"spotify:track:0MjXMKyCwA9mNxkNpHi7Gz","Soledad","spotify:artist:0dEvx7Y18jVslvbP4IksQl","The Chakachas","spotify:album:7qgAAg9i0LChGEEK5a6OzM","Chakachas","1972-09-12","1","2","236636","false","19","spotify:user:1227113","2020-09-02T01:06:51Z","","0.653","0.341","2","-18.56","1","0.0612","0.432","0.0394","0.204","0.927","80.866","4"
"spotify:track:7equh7E4JIi2QlOpaoAofm","Layla","spotify:artist:7vRJDtEvLW2MZ4ISs1Zddy","Cotonete","spotify:album:0haZfzJk7tFXzeMCEKzoXI","Super-vilains","2019-02-01","1","3","536440","false","25","spotify:user:1227113","2020-09-02T02:37:54Z","","0.331","0.575","9","-13.577","0","0.0369","0.213","0.746","0.0981","0.0675","112.949","4"
"spotify:track:7LT4otmW7PLk0gJAeqodwZ","Fade - KEARL Remix","spotify:artist:4DbVGBurfbrdLW2ZwfwdmP","Takuya Kuroda","spotify:album:2rU94DZ6yflfU5AEDbfp29","Fade","2020-08-28","1","2","321238","false","18","spotify:user:1227113","2020-09-02T02:48:14Z","indie jazz,indie soul,japanese jazz","0.702","0.518","6","-9.943","1","0.0464","0.00488","0.646","0.109","0.51","123.977","4"
"spotify:track:0grWTRscyEWsML2UqxHQ5M","Don't Doubt My Lovin'","spotify:artist:2MNNVXEpagQ3QWiOkXjQyT","Harvey Mason","spotify:album:0749f8G3xK1yPfkgY1u5ia","M.V.P. (Expanded Edition)","1981-06-01","1","8","272226","false","9","spotify:user:1227113","2020-09-02T14:43:23Z","jazz drums,jazz funk,post-disco","0.741","0.618","0","-7.516","0","0.0489","0.28","0.000601","0.323","0.765","114.457","4"
"spotify:track:2QX0fJsrQILTqfoWG5Wpoh","Moments","spotify:artist:1sBCqmBIRFzk6RdVeSIhbl","Undecided Future","spotify:album:7p8fnDqbje1aRJJTMBtEJa","Moments","2020-05-15","1","1","216986","false","15","spotify:user:1227113","2020-09-02T23:52:33Z","oc indie","0.753","0.648","10","-5.441","0","0.0464","0.0506","0.00197","0.134","0.898","110.004","4"
"spotify:track:4Tv5pXJk79yULMd7gOfxTL","Sob a Luz Do Sol","spotify:artist:32i53I8U2hquSThuvgepBc","A Bossa Elétrica","spotify:album:2vetatQ3xiujxMLMgGVudI","A Bossa Elétrica Do Norte","2010-09-30","1","7","306853","false","19","spotify:user:1227113","2020-09-02T23:57:44Z","","0.77","0.763","6","-9.863","0","0.0685","0.25","0.176","0.0676","0.616","101.973","4"
"spotify:track:7Bm2CotSfFpyUnv7Qh5STV","Superwoman","spotify:artist:6dLGrJfOwF5gdyI8Ga7b76","Dan D'Lion","spotify:album:5gDnH8Im4ZIWQDkPvySdjP","When One Thing Leads To Another","2020-07-03","1","5","201106","false","28","spotify:user:1227113","2020-09-03T14:02:44Z","uk pop","0.868","0.309","10","-7.735","1","0.0698","0.726","0.00000214","0.0834","0.652","127.953","4"
"spotify:track:1447jaOhoIyvMry7YV1Y9k","Help Yourself to My Love","spotify:artist:135Rv69sEKYSUfBBaI7i3M","Kashif","spotify:album:45jG2FPwWaf5wAE41umTxv","Kashif (Expanded Edition)","2014-10-27","1","4","245973","false","39","spotify:user:1227113","2020-09-03T15:09:40Z","disco,funk,new jack swing,post-disco,quiet storm,urban contemporary","0.803","0.352","6","-13.288","0","0.0726","0.0408","0.00000305","0.184","0.608","105.103","4"
"spotify:track:7wf1lnd9PUysUud3V3Bwrn","Mandamentos Black","spotify:artist:0trib6wgWtz8KhGTbhLb5m","Gerson King Combo","spotify:album:5A7oIRjULbknPVlXlYXvm5","Gerson King Combo","1977-07-05","1","1","240666","false","38","spotify:user:1227113","2020-09-03T17:07:19Z","brazilian soul","0.678","0.84","7","-4.737","1","0.193","0.269","0.000044","0.101","0.815","109.698","4"
"spotify:track:4SXWXupjFY49tbQWCG5rFf","Mr. Funky samba","spotify:artist:47UDFBXxSM6d5zbKvflXhv","Banda Black Rio","spotify:album:7KoQPmHEfDU7Sf61BfkhgG","Maria Fumaça (Remasterizado)","1977","1","3","219173","false","46","spotify:user:1227113","2020-09-03T17:13:59Z","bossa nova,brazilian boogie,brazilian soul,instrumental funk,mpb,samba","0.632","0.791","2","-5.509","1","0.0507","0.151","0.825","0.127","0.938","101.675","4"
"spotify:track:5EA8K8bSRUbTbNSs2KoCDJ","Flor De Lis - Ao Vivo","spotify:artist:6quVEYAfHqHwpp8JujXBHt, spotify:artist:0hPar6ePAELiu9rYMdvMEo","Emílio Santiago, Alcione","spotify:album:1HUhuWLkAemN35rk1sXyYO","Casa De Samba Sem Limite (Ao Vivo)","2007-01-08","1","2","169893","false","50","spotify:user:1227113","2020-09-03T17:21:52Z","bossa nova,brazilian soul,mpb,pagode,samba,velha guarda,axe,bossa nova,mpb,musica maranhense,pagode,pagode novo,samba","0.562","0.843","11","-6.49","0","0.164","0.207","0","0.817","0.614","99.251","4"
"spotify:track:17OzfblzUJ5XHBeBUb95av","Baby","spotify:artist:6KKYUjIV0oZTEWC8GPYehw","Quinteto Ternura","spotify:album:0veoGWuGVvpPgmvVw9jGZd","Quinteto Ternura","1974-03-30","1","4","175173","false","24","spotify:user:1227113","2020-09-03T18:16:46Z","brazilian boogie","0.557","0.6","1","-10.773","1","0.136","0.808","0.000907","0.077","0.519","116.481","4"
"spotify:track:6kLAiBdaF6dtGbhDTdbP9L","Squash","spotify:artist:59giNkLqQNTZs8MnlrkUhM, spotify:artist:2Pky4QuIXrFq6ZERGi4m1E","Robson Jorge, Lincoln Olivetti","spotify:album:23YsJH4l99KmP9OLXIwsaM","Robson Jorge e Lincoln Olivetti","2014-09-16","1","6","238826","false","35","spotify:user:1227113","2020-09-03T18:28:02Z","brazilian boogie","0.826","0.608","5","-7.003","1","0.0468","0.544","0.473","0.0914","0.801","95.135","4"
"spotify:track:7Bar1kLTmsRmH6FCKKMEyU","Hit Different","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP, spotify:artist:0KuF7reCTOZwV7YJnHQqgr, spotify:artist:2RdwBSPQiwcmiDo9kixcl8, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","SZA, The Neptunes, Pharrell Williams, Ty Dolla $ign","spotify:album:4xmJCh7ct63QvQ5wRc44db","Hit Different","2020-09-04","1","1","202007","true","84","spotify:user:1227113","2020-09-04T12:14:53Z","pop,pop rap,rap,hip hop,pop rap,pop,pop rap,r&b,southern hip hop,trap,trap soul","0.679","0.516","0","-6.371","0","0.0452","0.199","0","0.0965","0.716","120.074","4"
"spotify:track:4Cpvm6afZaNRBksutU0VZR","Layaway","spotify:artist:1aSwrSGBNGMLn9ymttfRkk","Lido","spotify:album:3DHhgjQxGF3xfOxCp3HeHN","Layaway","2020-09-02","1","1","202666","false","30","spotify:user:1227113","2020-09-04T12:21:44Z","future bass,norwegian pop,vapor twitch","0.299","0.542","5","-7.705","0","0.0354","0.0663","0.00000491","0.513","0.245","144.769","4"
"spotify:track:3QXWINNV9GuGyedHzQ0000","Tease Me","spotify:artist:1dAZApOwTI2FsXbgfmfrmm, spotify:artist:36UnfzYd835ufc9ajoT9Kk","Zikomo, DrewsThatDude","spotify:album:0o2MsA6qoAl4rxQt2vKMSr","Tease Me","2020-09-02","1","1","259696","false","18","spotify:user:1227113","2020-09-04T12:50:39Z","vapor twitch","0.77","0.188","0","-11.006","0","0.101","0.0837","0.869","0.11","0.183","109.016","4"
"spotify:track:3Xa0sbyAtaEYYl2qRGnWQb","Inhale","spotify:artist:2EMAnMvWE2eb56ToJVfCWs","Bryson Tiller","spotify:album:3LN2EXddZ3AtoPksRtLZRS","Inhale","2020-09-03","1","1","174091","true","59","spotify:user:1227113","2020-09-04T12:50:53Z","kentucky hip hop,pop,pop rap,r&b,rap,trap","0.461","0.702","7","-8.204","1","0.404","0.327","0.00109","0.244","0.507","77.504","4"
