"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:7FNoWNn8hKyZOLIagYxEoh","Restless","spotify:artist:23LyIZOZAannIZ9iH5bzHf, spotify:artist:1P93oR8FhUT5gmq4Nw44RT","Silvano Chimenti, Walter Rizzati","spotify:album:4i1JvfT5rrx9kivWQuU2sY","I Gres, Vol. 1","1974-03-19","1","1","187148","false","13","spotify:user:1227113","2020-08-07T16:37:33Z","italian library music,vintage italian soundtrack","0.641","0.746","2","-10.302","1","0.0542","0.0448","0.849","0.276","0.348","120.249","4"
"spotify:track:6DmhHsMMQvQCIs3xBbMTgh","I Work the Whole City","spotify:artist:5bUj39bg0zEbRzjUEISMG9, spotify:artist:0zM0uXmEe6L0126RlbwBns","Bernard Herrmann, Dave Blume","spotify:album:0Su23YyUD0OyafVwOP22HP","Taxi Driver","1976","1","15","146706","false","25","spotify:user:1227113","2020-08-07T16:37:53Z","classic soundtrack,soundtrack","0.569","0.708","2","-12.889","0","0.08","0.275","0.214","0.0641","0.966","93.018","3"
"spotify:track:5JLhioKyQcYxvnGvEPIk9F","My Latin Sky","spotify:artist:4Ytvi4r3WPIZmEw1Ndmkp9","Tom Browne","spotify:album:0Ru6eHAcH9inWvYlhr4c5w","Yours Truly","1981-03-01","1","8","295440","false","5","spotify:user:1227113","2020-08-07T17:01:17Z","disco,funk,jazz funk,post-disco,quiet storm","0.683","0.86","5","-6.221","1","0.0834","0.147","0.89","0.119","0.834","124.125","4"
"spotify:track:60mdBzHz3IidTYWZpZ71to","Piazza di Siena","spotify:artist:5sD7Cf3SaTVcrg81GQi1Xk","Piero Umiliani","spotify:album:2cPoPnF4BoQ7JSuycDneII","The Disco-Funk Sessions, Vol. 3","2014-03-15","1","13","168803","false","1","spotify:user:1227113","2020-08-07T17:49:38Z","exotica,lounge,vintage italian soundtrack","0.256","0.51","5","-14.462","1","0.0639","0.538","0.929","0.443","0.764","177.139","4"
"spotify:track:6x2u9qk6kxYWeJ3jedZOq4","Borgata triste","spotify:artist:2kpd3Zr8sQ2LsyV8FJ1CbD","Roversol","spotify:album:4ALR8C8FoYyXgDWLGmtl1V","Sensazioni n°1 (Music for Movie)","1972-01-01","1","10","83777","false","0","spotify:user:1227113","2020-08-07T20:02:10Z","","0.384","0.211","11","-11.536","1","0.0312","0.981","0.816","0.128","0.323","81.287","4"
"spotify:track:0A80UNAYnxCk3NogrVAWpY","Running To The Airport","spotify:artist:7f37Vyx4s5Ok6R0Q11YzJP","Franco Micalizzi","spotify:album:3DUCKkfkvy5dg0KDwVOF6g","Violence! (Colonna sonora originale del film "" il cinico, l'infame e il violento"")","1977-09-13","1","3","124848","false","5","spotify:user:1227113","2020-08-07T20:02:10Z","spytrack,vintage italian soundtrack","0.473","0.589","10","-10.308","0","0.0326","0.616","0.724","0.0906","0.747","93.453","3"
"spotify:track:2TzcNqOnDsZv1PyP3tm71F","Gbeti Madjo","spotify:artist:0eJnyYv95cVqWkoujUq7kb","T. P. Orchestre Poly-Rythmo","spotify:album:2wW5Xu007zO47SHJMIOUvO","African Scream Contest: Raw & Psychedelic Afro Sounds from Benin & Togo 70s","2008-03-17","1","6","174146","false","13","spotify:user:1227113","2020-08-09T17:23:08Z","afrobeat,afropop,beninese pop,classic afrobeat,highlife,world","0.392","0.842","6","-5.068","1","0.0711","0.211","0.000468","0.193","0.9","183.775","5"
"spotify:track:7y93foKyrEwbdDJ03hr8oa","Nowhere to Run","spotify:artist:5JuKDOE84ibOGf2UuPKfiO","Leer Paul Leary","spotify:album:6mR47ZAvuikyOjsGSuhP1k","Dramatic Funk Themes, Vol. 3","2013-01-01","1","1","84613","false","8","spotify:user:1227113","2020-08-11T14:10:11Z","","0.705","0.729","4","-8.073","1","0.0604","0.0633","0.783","0.115","0.923","169.09","4"
"spotify:track:0wOiCSxhbj4rPmbXQxU2ld","Running fast","spotify:artist:0gQMsmHT9YZJYIQxM1yJmM","Stefano Torossi","spotify:album:21FhgWtwCOj5SgsPVnTSX2","Feelings","1974","1","6","266800","false","34","spotify:user:1227113","2020-08-18T17:50:11Z","italian library music,lounge,spytrack,vintage italian soundtrack","0.464","0.896","5","-12.337","0","0.045","0.0298","0.563","0.11","0.845","138.79","4"
"spotify:track:3ygWvqj2nwkpQlTV7BCE1o","Northern Lights","spotify:artist:1nFSDOQenUg713aevfRd1l","Puccio Roelens","spotify:album:1JfyQdgonnrK4t6qPYpctt","French Riviera (Original Motion Picture Soundtrack)","2020-02-28","1","32","318973","false","18","spotify:user:1227113","2020-08-18T17:54:12Z","italian library music,vintage italian soundtrack","0.685","0.314","5","-19.192","0","0.036","0.502","0.859","0.119","0.875","104.88","4"
"spotify:track:6JTvDCbFeaVs6ksnG9H493","Bez Metalu","spotify:artist:0WYHLR1PqWKYuy5qBCvuik","Orchestra Henryk Debich","spotify:album:15lYNRIG5mDFd1DJtJTIjJ","Funk Mode","2005","1","4","225613","false","6","spotify:user:1227113","2020-08-20T21:06:45Z","eastern bloc groove","0.596","0.625","5","-9.372","0","0.171","0.0459","0.829","0.0659","0.767","107.235","4"
"spotify:track:6wjzlidHYbo03yVKM3zl5j","Polobotka","spotify:artist:6be1hPDaC5cO40ATz9ZMCK","Jazz Celula","spotify:album:7uJhkhGM8K4QT14dVLCEqx","Oheň až požár","1976","1","5","289280","false","2","spotify:user:1227113","2020-08-20T21:10:06Z","eastern bloc groove","0.523","0.878","5","-7.676","0","0.0724","0.391","0.1","0.128","0.723","130.745","4"
"spotify:track:0RTJVlAelILb2svdnwEEbL","Manhattan Disco","spotify:artist:6NXwJ5CEziDQrfimLpr7gZ","Alessandro Alessandroni","spotify:album:0Uq8BV3elZatfuTaaIS9dX","Sangue di sbirro","2019-05-10","1","11","202028","false","5","spotify:user:1227113","2020-08-31T20:04:33Z","italian library music,spytrack,vintage italian soundtrack","0.781","0.525","10","-11.041","1","0.0354","0.00282","0.361","0.0472","0.631","115.926","4"
"spotify:track:65GFgURuqtqL55lNhwKsPV","Relations","spotify:artist:4WM2RICpsWEz9UYFLgEIf3, spotify:artist:0ebCEazuFzN39t1A8qrmmf","Cicci Santucci, Complesso Freelands","spotify:album:5FFGci1mYNDDc0KUuqvnc0","Relations","1981-09-29","1","3","256477","false","0","spotify:user:1227113","2020-09-01T16:21:01Z","italian library music","0.397","0.458","5","-12.275","0","0.0418","0.524","0.252","0.112","0.569","141.159","4"
"spotify:track:6VY8INzpUfBMet8a82B9e3","Bank Job","spotify:artist:2CIYXJTMc2WH7XVlqZ5IrC","De Wolfe Music","spotify:album:7qWICEBgEYk3QKTSp4WYb2","Mean & Dirty","1978-04-03","1","2","112725","false","3","spotify:user:1227113","2020-09-16T18:26:34Z","library music,spytrack","0.8","0.4","8","-15.307","1","0.0437","0.88","0.847","0.104","0.663","118.064","4"
"spotify:track:428IITSmjjCohj7tpluMQ2","Jessica - Vocal","spotify:artist:2Gl84qKaY2jA2Mo22dEGNM","Roy Porter Sound Machine","spotify:album:3E1GQuFQ3nWbJi7LFOG75k","The Story of Roy Porter Sound Machine (1971-1975)","2012-09-10","1","1","251193","false","12","spotify:user:1227113","2020-09-18T21:29:12Z","","0.645","0.844","2","-4.842","1","0.0614","0.0822","0.871","0.177","0.869","119.726","4"
