"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:3i01Zk9c0FQ5HA1WJjflXI","Kung Fu","spotify:artist:0huGjMyP507tBCARyzSkrv","Cordae","spotify:album:7GgHSWESr1Yos5rc1BYRIb","Kung Fu","2018-07-13","1","1","199680","true","1","spotify:user:1227113","2019-03-14T18:16:23Z","dmv rap,hip hop,pop rap,rap,trap,underground hip hop,vapor trap","0.876","0.608","8","-6.019","1","0.109","0.0227","0.0000116","0.107","0.258","124.983","4"
"spotify:track:4zMmqb0pYwX6b0qc0slCoT","Only Child","spotify:artist:4lPl9gqgox3JDiaJ1yklKh","Tierra Whack","spotify:album:0vioXPjQ9v9dSkzw5xHrTQ","Only Child","2019-02-19","1","1","239324","true","65","spotify:user:1227113","2019-02-19T22:14:08Z","alternative r&b,escape room,indie soul","0.826","0.365","1","-7.024","1","0.0412","0.849","0.0000038","0.186","0.802","85.244","4"
"spotify:track:4Rdan5edd4P9FvBzv2meZD","I Want You Around","spotify:artist:1A9o3Ljt67pFZ89YtPPL5X","Snoh Aalegra","spotify:album:2RHLqM4QckIFnviFkMfViG","I Want You Around","2019-02-18","1","1","213293","true","0","spotify:user:1227113","2019-02-19T22:17:13Z","alternative r&b,indie r&b,indie soul,neo soul,scandinavian r&b,swedish soul","0.705","0.513","4","-7.054","1","0.2","0.362","0.0559","0.08","0.649","168.056","4"
"spotify:track:58IjLX5S7SFMqpRy8Bz6pT","New York Minute","spotify:artist:2ZvrvbQNrHKwjT7qfGFFUW","Herbie Hancock","spotify:album:1eyEiGNcBUytqA9OgU0dSp","The New Standard","1996-02-19","1","1","515626","false","20","spotify:user:1227113","2019-02-20T01:10:18Z","bebop,contemporary post-bop,cool jazz,funk,instrumental funk,jazz,jazz funk,jazz fusion,jazz piano,soul,soul jazz","0.495","0.614","1","-12.949","1","0.0326","0.0131","0.408","0.0821","0.403","108.345","4"
"spotify:track:0mCMjlSkCS0vTEeMX74tcZ","Mile High","spotify:artist:53KwLdlmrlCelAZMaLVZqU, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY, spotify:artist:0iEtIxbK0KxaSlF7G42ZOp","James Blake, Travis Scott, Metro Boomin","spotify:album:47TrHCpHvs4y7a6Y5vWVZS","Mile High","2019-01-17","1","1","193600","false","0","spotify:user:1227113","2019-02-20T01:52:49Z","alternative r&b,indie soul,uk alternative pop,rap,hip hop,pop rap,rap,southern hip hop,trap","0.754","0.37","6","-9.854","0","0.12","0.403","0.0000622","0.107","0.228","114.941","4"
"spotify:track:6bxtai04eVsvV7IZGqOXMy","Mornin Dew","spotify:artist:4tRZRfhgfLEIUI9mw9Njy2","Sunni Colón","spotify:album:1HRzxvSMJSc6sNHrU2JA1W","Satin Psicodelic","2018-08-29","1","4","324130","false","53","spotify:user:1227113","2019-02-20T02:43:22Z","alternative r&b,indie r&b,indie soul,soul flow","0.471","0.466","7","-11.466","0","0.0469","0.183","0.725","0.121","0.104","102.988","4"
"spotify:track:0of1vQS51irW6dsNud1eXW","You're Mine, You","spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T, spotify:artist:1sdyFmN4bVOcuFDpTVsxBB","Chet Baker, Kenny Burrell","spotify:album:5HqM443fFMswS5zbgw216b","Born to Be Blue","2014-08-18","1","3","189906","false","0","spotify:user:1227113","2019-02-20T13:21:53Z","adult standards,bebop,cool jazz,jazz,jazz trumpet,lounge,vocal jazz,bebop,christmas instrumental,contemporary post-bop,cool jazz,hard bop,jazz,jazz fusion,jazz guitar,soul jazz,straight-ahead jazz","0.383","0.0579","4","-18.141","0","0.0352","0.977","0.0000521","0.103","0.164","135.741","4"
"spotify:track:3vqi6062DZeS6fqtzbjxNi","Narnia","spotify:artist:7IM7p29X5Jz8mQCJqg0rYB, spotify:artist:3agnCimLdkVM3mc4PFJUxC","eugene cam, Meltycanon","spotify:album:5zSSPzMbgePmZEEoAjSc7I","Narnia","2019-01-26","1","1","192000","true","18","spotify:user:1227113","2019-02-20T14:08:33Z","future bass,phonk","0.765","0.464","6","-14.082","1","0.0649","0.715","0.00221","0.113","0.358","139.991","4"
"spotify:track:4Ce66JznW8QbeyTdSzdGwR","Chameleon","spotify:artist:2ZvrvbQNrHKwjT7qfGFFUW","Herbie Hancock","spotify:album:5fmIolILp5NAtNYiRPjhzA","Head Hunters","1973-10-26","1","1","941360","false","56","spotify:user:1227113","2019-02-20T14:17:23Z","bebop,contemporary post-bop,cool jazz,funk,instrumental funk,jazz,jazz funk,jazz fusion,jazz piano,soul,soul jazz","0.581","0.672","8","-8.279","1","0.0602","0.104","0.856","0.0458","0.808","111.154","4"
"spotify:track:5u46hHsoYToqIscmc1YP6z","Mama","spotify:artist:0OQMxt6l70FM2YlLwYDiEn, spotify:artist:6RcPiWIVptnyi8y3EIbDLB","Swing, Blu Samu","spotify:album:3etMOh3pNsuotQUvC5dLXG","Marabout","2018-01-19","1","4","203128","false","0","spotify:user:1227113","2019-02-20T15:40:20Z","belgian hip hop,french hip hop,rap calme,belgian hip hop","0.72","0.478","0","-10.792","1","0.079","0.278","0.00617","0.116","0.0627","142.958","4"
"spotify:track:4xC3EWDjwlWS0L62QZO9F8","Tangerine - Channel Tres Remix","spotify:artist:2iAyNq1LgQlXcmtM7SzkdV, spotify:artist:4cUkGQyhLFqKHBtL58HYVp","Aaron Childs, Channel Tres","spotify:album:2FuMGSJC5lI08kWandk65f","Tangerine (Channel Tres Remix)","2018-02-23","1","1","294445","false","52","spotify:user:1227113","2019-02-20T15:40:57Z","indie soul,la pop","0.866","0.351","11","-9.547","1","0.102","0.0158","0.23","0.182","0.366","114.994","4"
"spotify:track:39Y2HHQetiQ3aZzTgvW4Ir","Sumwrong","spotify:artist:5YZ5AExR68U3ZblH6HcO6B","Leven Kali","spotify:album:2F4F243D92CujF3zpxk9n4","Sumwrong","2019-02-12","1","1","188619","false","0","spotify:user:1227113","2019-02-20T15:41:27Z","alternative r&b,chill r&b,indie r&b,indie soul","0.701","0.587","6","-6.767","0","0.0567","0.00737","0.0000105","0.041","0.582","68.878","4"
"spotify:track:0AqMAXSzkIRMV0alAddJK8","Slow Down","spotify:artist:0ukgrNYk51TkMQr0f2Br4Q, spotify:artist:1CoZyIx7UvdxT5c8UkMzHd","Maverick Sabre, Jorja Smith","spotify:album:7CxbZH0zXsRFsGZJpvWdWT","Slow Down","2019-02-07","1","1","211064","false","51","spotify:user:1227113","2019-02-20T15:41:27Z","indie soul,irish hip hop,pop,uk contemporary r&b","0.57","0.46","4","-9.841","0","0.28","0.0651","0.0000191","0.131","0.659","203.579","4"
"spotify:track:59VNspSnCfoeGyNTGcSgsh","BLACKJACK (feat. YBN Cordae) - Remix","spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ, spotify:artist:0huGjMyP507tBCARyzSkrv","Aminé, Cordae","spotify:album:7afIucKWHD9JmJsXR0DqIR","BLACKJACK (Remix)","2019-02-08","1","1","163120","true","53","spotify:user:1227113","2019-02-20T15:41:27Z","hip hop,pop rap,portland hip hop,rap,underground hip hop,dmv rap,hip hop,pop rap,rap,trap,underground hip hop,vapor trap","0.959","0.583","2","-6.064","1","0.27","0.163","0","0.056","0.887","130.979","4"
"spotify:track:7gnZyNUkUyzQj0SCA53sYT","Water No Get Enemy","spotify:artist:336vr2M3Va0FjyvB55lJEd, spotify:artist:6kgrtA0dlnVpWB6zjpXrRb, spotify:artist:4ylR3zwA0zaapAu94fktwa, spotify:artist:3yDIp0kaq9EFKe07X1X2rz, spotify:artist:49zXTngyUTielHTbbH5YKs, spotify:artist:4b3u2gT5QT5SApOmMUGDeN, spotify:artist:3AESCWpgSq8ykxcctEQ2mb","D'Angelo, Femi Kuti, Macy Gray, Nile Rodgers, Roy Hargrove, The Soultronics, Positive Force","spotify:album:6lhP4eP3vrdDkWKl1yNcNU","Red Hot + Riot","2002-11-01","1","7","365933","false","42","spotify:user:1227113","2019-02-20T15:41:27Z","alternative r&b,funk,hip hop,indie soul,neo soul,soul,afrobeat,afropop,world,neo soul,pop rock,disco,bebop,big band,contemporary jazz,contemporary post-bop,cool jazz,hard bop,jazz,jazz funk,jazz fusion,jazz trumpet,soul jazz,vocal jazz,post-disco","0.782","0.755","10","-9.523","0","0.0697","0.297","0.118","0.125","0.76","98.991","4"
"spotify:track:3lQFy6qSUbcrcgXn60e6hG","Young (LMNOP Remix)","spotify:artist:6QrRSfwkZsixVIgDRhpToh, spotify:artist:0MK47kfnPGRZJjaKdxvobL","Ian Ewing, LMNOP","spotify:album:6O4YC7ouj1Qr46eoDDHjAw","Overnight Remixes","2019-01-11","1","5","228281","false","6","spotify:user:1227113","2019-02-20T15:41:27Z","chillhop,lo-fi beats,vapor twitch","0.952","0.397","8","-7.569","0","0.268","0.01","0.0372","0.131","0.397","128.055","4"
"spotify:track:1RsqyOxg254bZioR6jx5lD","Will I Get Off Easy","spotify:artist:2bToe6WyGvADJftreuXh2K","Lee Fields & The Expressions","spotify:album:6dFZJZEoVLsHnaq4a4UZwo","Will I Get Off Easy","2019-02-07","1","1","209826","false","0","spotify:user:1227113","2019-02-20T15:41:27Z","afrobeat,funk,indie soul,soul","0.588","0.568","2","-4.752","1","0.0267","0.0579","0.0000019","0.0683","0.715","141.472","4"
