"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:0IYoysINbiH6z5zgoOqft7","Say Yeah","spotify:artist:2fOvE1l01YyORhYzwoaLCM, spotify:artist:48Zl8yw6YhIsymNwvNMlnM","Miraa May, Haile","spotify:album:1FGX88Yapxv50i7Qbs1bCf","Say Yeah","2020-07-16","1","1","184000","true","53","spotify:user:1227113","2020-07-22T17:47:44Z","chill r&b,uk alternative hip hop,uk contemporary r&b","0.4","0.685","0","-6.081","0","0.0448","0.0974","0.000366","0.0683","0.578","98.115","4"
"spotify:track:7pfRPLlYC0FKNT80CA2Cyv","Matando","spotify:artist:1xcMOgFUM1IYZE22YjCvsL","Tei Shi","spotify:album:05ZdcQ2F8wSobCk3ypo15O","La Linda","2019-11-15","1","4","215613","false","40","spotify:user:1227113","2020-07-22T18:03:20Z","alternative r&b,art pop,dance pop,electropop,escape room,gauze pop,indie poptimism,pop,shimmer psych,vapor pop,vapor soul","0.812","0.439","8","-7.093","0","0.0846","0.351","0.0133","0.0909","0.594","94","4"
"spotify:track:7k61rmoCTIFzhsJktq1LB2","Don't Go","spotify:artist:68R39izwNAztATrXMOqkJS, spotify:artist:10AqzYvqLE7AKv2JaSOxfj","Bad Boy Timz, Anonymous","spotify:album:0ZRdRbZaPebwjVaokaW4Oe","Timz","2019-08-26","1","3","157648","false","28","spotify:user:1227113","2020-07-22T20:07:42Z","nigerian pop","0.844","0.639","6","-4.336","1","0.135","0.184","0.000069","0.158","0.928","106.945","4"
"spotify:track:1ZS1jIvAsmlx09ltztNur1","Ritmo Coco","spotify:artist:7BIkk865pwBrSZetA8Izic, spotify:artist:7e3FtKBIPLrIVm8g1FJMVg","Juls, Sango","spotify:album:7fzbaKPv54lFU6kqXCOUKd","Fufu & Grits","2020-05-28","1","1","261097","false","44","spotify:user:1227113","2020-07-22T20:46:35Z","afro dancehall,afropop,afroswing,dancehall,modern reggae,uk dancehall,abstract beats,alternative r&b,escape room,indie r&b,indie soul,vapor twitch","0.889","0.454","2","-12.979","1","0.14","0.0427","0.908","0.102","0.45","117.95","4"
"spotify:track:0cj7s0kGaVmFPWP898eTbx","Angele Ni Fie","spotify:artist:7BIkk865pwBrSZetA8Izic, spotify:artist:7e3FtKBIPLrIVm8g1FJMVg","Juls, Sango","spotify:album:7fzbaKPv54lFU6kqXCOUKd","Fufu & Grits","2020-05-28","1","2","202434","false","47","spotify:user:1227113","2020-07-22T20:46:35Z","afro dancehall,afropop,afroswing,dancehall,modern reggae,uk dancehall,abstract beats,alternative r&b,escape room,indie r&b,indie soul,vapor twitch","0.801","0.664","0","-9.627","0","0.0422","0.19","0.779","0.0697","0.448","114.986","4"
"spotify:track:3KVz15nrLr0ASEJk1eJBcb","Hungover - French Dub","spotify:artist:4keJDDQx0ac2jhmknbSLFK, spotify:artist:0AfNNw1LS2i9KW4icd7inD, spotify:artist:6WIXrNpbpGraLXs5vhEYJG, spotify:artist:6HlbdrXWMFHgFdbIDX9Znv","Latroit, Fred Falke, Zen Freeman, Charlz","spotify:album:5zQnF9HfehS65WelopDmg5","Hungover (French Dub)","2020-07-03","1","1","218236","false","32","spotify:user:1227113","2020-07-22T20:54:45Z","deep groove house,edm,disco house,filter house,new french touch,nu disco","0.667","0.948","6","-5.704","0","0.059","0.00244","0.678","0.0555","0.504","120.033","4"
"spotify:track:6My7ThfS01lzN9gmBXsF4s","LoLo","spotify:artist:6BhoGzrwRr9eELLBJ55ldo","Eugy","spotify:album:3rPV8qefDUHZZxOUYvEmJc","LoLo","2019-03-18","1","1","166322","false","55","spotify:user:1227113","2020-07-23T13:38:54Z","afro dancehall,afropop,dancehall,ghanaian hip hop,swedish dancehall,uk dancehall","0.766","0.622","11","-7.48","1","0.359","0.317","0.00798","0.0849","0.426","187.936","4"
"spotify:track:1dumnZ0E3WWpX81Rj2nENZ","Onda","spotify:artist:5szdY7KaSi7epwyffrbV8c, spotify:artist:5evxKull73cP7iadarMC99","Poolside, Fatnotronic","spotify:album:43vTvRPfhVbwDZcFBPipjn","Brazilian Compilation Series, Vol. 1","2015-05-01","1","1","419500","false","43","spotify:user:1227113","2020-07-23T14:37:16Z","alternative dance,indie soul,new rave,nu disco,brazilian boogie","0.662","0.68","0","-8.66","1","0.0407","0.0573","0.784","0.336","0.78","100.002","4"
"spotify:track:0DSmIgjcXW30frz29jRPPk","Indoni Yamnzi","spotify:artist:1bNjWBFWsAAzZSR59lRdpR, spotify:artist:1U0kluMlV9VEvmeRvjilSG","Kabza De Small, Bongza","spotify:album:5MERmRjWVHcj7PoQ4MHdIa","I Am The King Of Amapiano: Sweet & Dust","2020-06-26","1","10","360000","false","29","spotify:user:1227113","2020-07-23T14:55:56Z","afro house,afro soul,amapiano,south african alternative,south african pop","0.874","0.295","5","-17.269","0","0.0695","0.0394","0.25","0.0446","0.232","112.021","4"
"spotify:track:6qOJdGieYwCMFU8RpwXSNO","No Ansa","spotify:artist:3XXMDj1Yn4RJ7REbXK2u32, spotify:artist:3Uv5hfyuC7TkLsQ6p4ikSb","Tessellated, Crayon","spotify:album:43FxWlWDONK8XYBwL6TZYE","No Ansa","2020-07-24","1","1","144066","false","31","spotify:user:1227113","2020-07-24T15:11:31Z","modern reggae,nigerian pop","0.808","0.612","4","-7.232","0","0.0834","0.534","0","0.07","0.972","100.027","4"
"spotify:track:4Jz1BNxVW7HRYMZZfNbfpe","Why Ngikufela","spotify:artist:1bNjWBFWsAAzZSR59lRdpR, spotify:artist:3sUpxgg52OFYMSCaEO7sq4, spotify:artist:0mMqD2uqwvCjFvlzo6ayGi","Kabza De Small, Shasha, DJ Maphorisa","spotify:album:0zfVL73Pdn1lTbY8MvTxbO","Why Ngikufela","2020-06-19","1","1","356814","false","13","spotify:user:1227113","2020-07-24T17:31:57Z","afro house,afro soul,amapiano,south african alternative,south african pop,afro house,afro soul,amapiano,south african pop","0.835","0.428","10","-19.216","0","0.0534","0.053","0.0676","0.0596","0.359","113.001","4"
"spotify:track:6StPZzlp6MDPiF5de5rvsr","Lala Ngoxolo - Paper 707 Tribute","spotify:artist:1bNjWBFWsAAzZSR59lRdpR, spotify:artist:4VlxI0WKDh7HFgHjXcfj6v, spotify:artist:653Y1k21jYNqD7XY4lszrK","Kabza De Small, Kelvin Momo, Mhaw Keys","spotify:album:63ihz14mE3Pod28j6VNbMU","Lala Ngoxolo (Paper 707 Tribute)","2020-07-23","1","1","483600","false","0","spotify:user:1227113","2020-07-24T17:32:03Z","afro house,afro soul,amapiano,south african alternative,south african pop,afro house,afro soul,amapiano,south african pop,amapiano","0.798","0.43","2","-14.577","1","0.0484","0.0378","0.125","0.0328","0.461","112.002","4"
"spotify:track:5URyn9QZ8gs8fHKelZf6QQ","Luv Neva Fades","spotify:artist:4PgpbgDjHJJ0jsBYOcV5q1, spotify:artist:5wsQKyYILAEvohUyKsRAp7, spotify:artist:2qBuzbYgrjGhnf79c60kxi, spotify:artist:6kOYTwdWQF73PXP7WyRsNJ","Fredfades, Jawn Rice, Javonntte, Byron the Aquarius","spotify:album:53J5EFmRdv75HpHmmKcpBD","Luv Neva Fades","2020-06-26","1","1","335720","false","15","spotify:user:1227113","2020-07-27T13:32:53Z","jazz rap,detroit house,broken beat,float house","0.67","0.565","1","-11.785","1","0.0367","0.148","0.478","0.0398","0.482","120.996","4"
"spotify:track:4w47S36wQGBhGg073q3nt7","TKN (feat. Travis Scott)","spotify:artist:7ltDVBr6mKbRvohxheJ9h1, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","ROSALÍA, Travis Scott","spotify:album:4KEOAWBMpvJrIZ7tQfx44i","TKN (feat. Travis Scott)","2020-05-28","1","1","129370","false","85","spotify:user:1227113","2020-07-27T15:27:27Z","r&b en espanol,rap","0.776","0.509","0","-6.266","0","0.467","0.192","0.00000149","0.115","0.485","94.634","4"
"spotify:track:6QqF0MqjQVotftZIuQUbvf","Clutch (feat. Kiana Ledé)","spotify:artist:4hTL3jOgvZwOqegEZTOrCc, spotify:artist:7jZMxhsB8djyIbYmoiJSTs","Col3trane, Kiana Ledé","spotify:album:3TfI9sGZXMZtRYDMuSdDxd","Clutch (feat. Kiana Ledé)","2020-05-15","1","1","206680","true","65","spotify:user:1227113","2020-07-30T11:41:55Z","alternative r&b,chill r&b,indie r&b,indie soul,trap soul,uk contemporary r&b,alternative r&b,dance pop,pop,pop r&b,post-teen pop,r&b,urban contemporary","0.634","0.564","1","-7.984","0","0.359","0.663","0.000239","0.111","0.637","116.233","5"
"spotify:track:6hmMCttWbeJbm3GLKqeI46","Mapiano Blues","spotify:artist:1bNjWBFWsAAzZSR59lRdpR, spotify:artist:0aP1ZzvGhXjejlBmy1Gk6G, spotify:artist:34xlBmrVQfav11E1ok3w9T","Kabza De Small, Howard, XolaniGuitars","spotify:album:5MERmRjWVHcj7PoQ4MHdIa","I Am The King Of Amapiano: Sweet & Dust","2020-06-26","1","13","459574","false","30","spotify:user:1227113","2020-07-30T17:26:07Z","afro house,afro soul,amapiano,south african alternative,south african pop","0.861","0.634","10","-11.71","0","0.0553","0.0458","0.746","0.0994","0.407","112.803","4"
"spotify:track:5kyw8DFVCAl1QM247GslI3","Balance Feat. Tiwa Savage","spotify:artist:520qA5VGL9iI0SbmEnTVNg, spotify:artist:1hNaHKp2Za5YdOAG0WnRbc","Maleek Berry, Tiwa Savage","spotify:album:5emWvZXLpOj5CrtK8NOuJp","Isolation Room","2020-07-31","1","3","201509","false","39","spotify:user:1227113","2020-07-31T19:17:33Z","afropop,azontobeats,dancehall,nigerian pop,swedish dancehall,uk dancehall,afro dancehall,afropop,azonto,azontobeats,nigerian hip hop,nigerian pop","0.87","0.652","7","-7.6","1","0.0469","0.612","0.0000236","0.112","0.848","105.993","4"
"spotify:track:0m5SWK1mi9y9Vk1KZnJ2wM","Badman Flex","spotify:artist:50mdotNCJ2PcoZiAgsh8dY, spotify:artist:5adKMaYrGOMyOfnbiLPuHg","SFB, Jonna Fraser","spotify:album:49K18hGOt7Zq5sYFL1tRSc","77 Nachten","2017-07-07","1","10","171523","true","39","spotify:user:1227113","2020-08-06T19:56:45Z","dutch hip hop,dutch pop,dutch rap pop,dutch hip hop,dutch pop,dutch rap pop","0.725","0.861","4","-3.519","0","0.349","0.0809","0","0.603","0.61","105.012","4"
"spotify:track:3PNfJn4YOrOhnnWt7fb7s4","Carnival Love","spotify:artist:3l1C23aRp4lfkBK3lLAp2m, spotify:artist:2fOvE1l01YyORhYzwoaLCM","Toddla T, Miraa May","spotify:album:1c3WbCdXnb0xw5TTpmXQdg","Carnival Love","2020-08-05","1","1","161126","false","49","spotify:user:1227113","2020-08-07T13:00:42Z","ninja,uk dancehall,chill r&b,uk alternative hip hop,uk contemporary r&b","0.728","0.799","1","-6.069","1","0.0547","0.0208","0.271","0.098","0.637","124.006","4"
"spotify:track:1glUb1pYB011LwoEZRTvrZ","I Think","spotify:artist:7c5qu1gNlg8jWDzzmlp89O, spotify:artist:05WEW3kd5mLRHs3xtUF6t9","Kraak & Smaak, Berenice Van Leer","spotify:album:7zEwODOjHD8cHU07X5pf6t","Pleasure Centre","2019-10-18","1","14","182332","false","19","spotify:user:1227113","2020-08-07T18:10:06Z","bboy,deep house,disco house,electronica,filter house,indie soul,new french touch,nu disco,nu jazz","0.856","0.699","2","-7.19","1","0.047","0.0454","0.00452","0.0973","0.616","104.997","4"
"spotify:track:1wCuHnWfO0yYwhMCEbCRu6","Vitória régia - Estou contigo e não abro - Instrumental","spotify:artist:0jOs0wnXCu1bGGP7kh5uIu","Tim Maia","spotify:album:5D5OGW1c4enqcI9fqs1XWt","Disco Club","1978","1","4","136080","false","0","spotify:user:1227113","2020-08-07T18:24:17Z","bossa nova,brazilian boogie,brazilian soul,mpb,samba","0.817","0.668","10","-8.38","0","0.0836","0.039","0.515","0.0847","0.707","129.981","4"
"spotify:track:4ZRl4vgRSJqtnJaCXWS6hg","Moody","spotify:artist:2TRNyrjoKJnqSc9G8jCZfb","Brijean","spotify:album:4K86Gl0y6IBl8uKxcsJUPq","Moody","2020-07-22","1","1","134220","false","44","spotify:user:1227113","2020-08-10T12:51:24Z","","0.826","0.704","10","-7.791","0","0.0766","0.0841","0.828","0.119","0.514","115.984","4"
"spotify:track:5Yqi1p9k87a4qwX1UK42Sc","It Ain't Watcha Say","spotify:artist:3isYg6esLI9mPQ5IzXp5lD","Aquarian Dream","spotify:album:6Fa3Badzi8JPKmz0iYnoXi","Fantasy","1978","1","3","230720","false","16","spotify:user:1227113","2020-08-14T14:24:29Z","rare groove","0.715","0.823","8","-14.229","0","0.0498","0.169","0.0238","0.0575","0.921","121.519","4"
"spotify:track:2qe61neiZJl6dbiWSK7U8a","You’ve Succeeded","spotify:artist:5vp9AHO9AiPf2A5hlpAkTl","Dimas III","spotify:album:0f1C8Kg0SNOdys0FlShFZC","Royal Jesters: English Oldies","2015-06-23","1","27","193053","false","18","spotify:user:1227113","2020-08-20T20:54:38Z","souldies","0.411","0.703","0","-5.337","1","0.0285","0.103","0.000479","0.0698","0.748","88.445","4"
"spotify:track:63MDlT75I1QKngHOVjvuTk","Everytime","spotify:artist:2NtQA3PY9chI8l65ejZLTP, spotify:artist:1LKo6ZA3RNvKtLa6zDu32S","DJ Spinall, Kranium","spotify:album:47QstGb0yUF5dG1xDPCOub","Everytime","2020-07-24","1","1","200400","true","53","spotify:user:1227113","2020-08-31T14:15:56Z","afro dancehall,afropop,azontobeats,nigerian pop,basshall,dancehall","0.778","0.717","6","-3.151","0","0.128","0.224","0","0.119","0.458","100.043","4"
